family,dataset_key,dataset_label,model_short,model_name,backend,run_id,run_name,run_dir,n_cases,expected_n_cases,is_full_dataset,selection_status,selection_note,batch_size,temperature,max_tokens,max_diagnoses,use_mondo,prompt_dir,ground_truth_file,benchmark_ids_file,started_at,finished_at,n_errors,error_rate,mrr_id,recall_at_1_id,recall_at_3_id,recall_at_5_id,recall_at_10_id,recall_at_1_name,recall_at_10_name,recall_at_1_id_or_name,recall_at_10_id_or_name,n_fuzzy_auto_correct,n_fuzzy_review,n_fuzzy_rejected
archive2_suite,allG2P,allG2P,gemma-3-27b-it,google/gemma-3-27b-it,openai_http,gemma-3-27b-it_20260402_000130_46508ec7,gemma-3-27b-it_20260402_000130_46508ec7,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/archive2/allG2P/gemma-3-27b-it_20260402_000130_46508ec7,2173,2173,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/benchmark_ids.txt,2026-04-02T00:01:30.808380+00:00,2026-04-02T00:26:50.597777+00:00,0,0.0,0.05440890729662014,0.03635526921306949,0.06580763920846755,0.07777266451909802,0.0966405890473999,0.032213529682466636,0.08421537045559135,0.03635526921306949,0.0966405890473999,8477,2785,10157
archive2_suite,allG2P,allG2P,llama3-med42-8b,m42-health/Llama3-Med42-8B,openai_http,Llama3-Med42-8B_20260403_105647_92bbd4be,Llama3-Med42-8B_20260403_105647_92bbd4be,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/llama3-med42-8b_http/archive2/allG2P/Llama3-Med42-8B_20260403_105647_92bbd4be,2173,2173,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/benchmark_ids.txt,2026-04-03T10:56:47.706230+00:00,2026-04-03T11:07:10.383973+00:00,3,0.0013805798435342844,0.02365378523915109,0.013345605154164749,0.031753336401288544,0.039116428900138056,0.041877588587206624,0.011965025310630465,0.032213529682466636,0.013345605154164749,0.041877588587206624,2971,3752,5140
archive2_suite,allG2P,allG2P,llama3-med42-8b,m42-health/Llama3-Med42-8B,openai_http,Llama3-Med42-8B_20260404_015849_86b0bf8d,Llama3-Med42-8B_20260404_015849_86b0bf8d,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/llama3-med42-8b_http/archive2/allG2P/Llama3-Med42-8B_20260404_015849_86b0bf8d,2173,2173,True,excluded_invalid_run,degenerate full-size run with near-total inference failure; excluded from headline comparison,8,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/benchmark_ids.txt,2026-04-04T01:58:49.381397+00:00,2026-04-04T01:58:55.577088+00:00,2173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
archive2_suite,allG2P,allG2P,medgemma-27b-it,google/medgemma-27b-it,openai_http,medgemma-27b-it_20260402_030847_d5489154,medgemma-27b-it_20260402_030847_d5489154,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/medgemma-27b-it_http/archive2/allG2P/medgemma-27b-it_20260402_030847_d5489154,2173,2173,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/benchmark_ids.txt,2026-04-02T03:08:47.024307+00:00,2026-04-02T03:41:39.877919+00:00,423,0.1946617579383341,0.04732646808118506,0.0354348826507133,0.05522319374137138,0.06304647952139898,0.07271053842613898,0.031753336401288544,0.06028531983433042,0.0354348826507133,0.07271053842613898,4818,1772,9476
archive2_suite,allG2P,allG2P,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,openai_http,Qwen2.5-32B-Instruct_20260402_202916_0644e940,Qwen2.5-32B-Instruct_20260402_202916_0644e940,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/qwen2.5-32b-instruct_http/archive2/allG2P/Qwen2.5-32B-Instruct_20260402_202916_0644e940,2173,2173,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/allG2P/benchmark_ids.txt,2026-04-02T20:29:16.927467+00:00,2026-04-02T21:12:24.059654+00:00,0,0.0,0.0629555531649411,0.04555913483663138,0.07409111826967327,0.08697653014265992,0.10400368154624942,0.031293143120110445,0.07501150483202945,0.04555913483663138,0.10400368154624942,5475,4573,11053
archive2_suite,mygene2,MyGene2,gemma-3-27b-it,google/gemma-3-27b-it,openai_http,gemma-3-27b-it_20260401_235820_b90d3ad3,gemma-3-27b-it_20260401_235820_b90d3ad3,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/archive2/mygene2/gemma-3-27b-it_20260401_235820_b90d3ad3,146,146,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/benchmark_ids.txt,2026-04-01T23:58:20.422838+00:00,2026-04-02T00:00:04.534249+00:00,0,0.0,0.0271689497716895,0.0136986301369863,0.03424657534246575,0.0410958904109589,0.06164383561643835,0.00684931506849315,0.04794520547945205,0.0136986301369863,0.06164383561643835,44,81,1321
archive2_suite,mygene2,MyGene2,llama3-med42-70b,m42-health/Llama3-Med42-70B,openai_http,Llama3-Med42-70B_20260404_081304_1c663bc5,Llama3-Med42-70B_20260404_081304_1c663bc5,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/llama3-med42-70b_http/archive2/mygene2/Llama3-Med42-70B_20260404_081304_1c663bc5,146,146,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,8,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/benchmark_ids.txt,2026-04-04T08:13:04.595930+00:00,2026-04-04T08:16:41.047629+00:00,0,0.0,0.05678408349641227,0.00684931506849315,0.07534246575342465,0.11643835616438356,0.2054794520547945,0.0,0.11643835616438356,0.00684931506849315,0.2054794520547945,89,26,1356
archive2_suite,mygene2,MyGene2,llama3-med42-8b,m42-health/Llama3-Med42-8B,openai_http,Llama3-Med42-8B_20260403_105616_1d44f8db,Llama3-Med42-8B_20260403_105616_1d44f8db,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/llama3-med42-8b_http/archive2/mygene2/Llama3-Med42-8B_20260403_105616_1d44f8db,146,146,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/benchmark_ids.txt,2026-04-03T10:56:16.801868+00:00,2026-04-03T10:56:47.232330+00:00,0,0.0,0.014677103718199608,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.02054794520547945,34,5,562
archive2_suite,mygene2,MyGene2,llama3-med42-8b,m42-health/Llama3-Med42-8B,openai_http,Llama3-Med42-8B_20260404_015848_7d1c9de1,Llama3-Med42-8B_20260404_015848_7d1c9de1,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/llama3-med42-8b_http/archive2/mygene2/Llama3-Med42-8B_20260404_015848_7d1c9de1,146,146,True,excluded_invalid_run,degenerate full-size run with near-total inference failure; excluded from headline comparison,8,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/benchmark_ids.txt,2026-04-04T01:58:48.430465+00:00,2026-04-04T01:58:49.095119+00:00,146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
archive2_suite,mygene2,MyGene2,medgemma-27b-it,google/medgemma-27b-it,openai_http,medgemma-27b-it_20260402_030626_6c0778b5,medgemma-27b-it_20260402_030626_6c0778b5,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/dx_bench/results/medgemma-27b-it_http/archive2/mygene2/medgemma-27b-it_20260402_030626_6c0778b5,146,146,True,selected_headline,best full-size native run for this model/dataset under exact-ID Hit@1,64,0.0,512,10,False,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/en,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/correct_results.tsv,/vol/home-vol3/wbi/elmoftym/Mofty/PhenoPacket/PP2Prompt/prompts/archive2/mygene2/benchmark_ids.txt,2026-04-02T03:06:26.615245+00:00,2026-04-02T03:08:45.674825+00:00,8,0.0547945205479452,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.00684931506849315,0.00684931506849315,0.02054794520547945,0.02054794520547945,46,71,1116
